[2026-06-18T20:38:20.005+0000] {local_task_job_runner.py:120} INFO - ::group::Pre task execution logs
[2026-06-18T20:38:20.030+0000] {taskinstance.py:2076} INFO - Dependencies all met for dep_context=non-requeueable deps ti=<TaskInstance: update_db.staging_table manual__2026-06-18T20:38:18.525468+00:00 [queued]>
[2026-06-18T20:38:20.048+0000] {taskinstance.py:2076} INFO - Dependencies all met for dep_context=requeueable deps ti=<TaskInstance: update_db.staging_table manual__2026-06-18T20:38:18.525468+00:00 [queued]>
[2026-06-18T20:38:20.049+0000] {taskinstance.py:2306} INFO - Starting attempt 1 of 1
[2026-06-18T20:38:20.718+0000] {data_modification.py:80} INFO - Update row with Video_ID: oZv-Bb0fgpM
[2026-06-18T20:38:20.720+0000] {data_modification.py:80} INFO - Update row with Video_ID: F62lpknhIWo
[2026-06-18T20:38:20.722+0000] {data_modification.py:80} INFO - Update row with Video_ID: 2Cd8QKs6RZw
[2026-06-18T20:38:20.724+0000] {data_modification.py:80} INFO - Update row with Video_ID: pnVRws0-sUw
[2026-06-18T20:38:20.726+0000] {data_modification.py:80} INFO - Update row with Video_ID: dyf5gWacGxw
[2026-06-18T20:38:20.728+0000] {data_modification.py:80} INFO - Update row with Video_ID: LiyObO4EUWM
[2026-06-18T20:38:20.730+0000] {data_modification.py:80} INFO - Update row with Video_ID: H-URWjpX2qg
[2026-06-18T20:38:20.731+0000] {data_modification.py:80} INFO - Update row with Video_ID: XcS8ZzACdPA
[2026-06-18T20:38:20.734+0000] {data_modification.py:80} INFO - Update row with Video_ID: c_lzft271AU
[2026-06-18T20:38:20.736+0000] {data_modification.py:80} INFO - Update row with Video_ID: qKHagQ2ENVQ
[2026-06-18T20:38:20.738+0000] {data_modification.py:80} INFO - Update row with Video_ID: QhWP5TrfaaA
[2026-06-18T20:38:20.740+0000] {data_modification.py:80} INFO - Update row with Video_ID: ZYtLLhlg-zM
[2026-06-18T20:38:20.742+0000] {data_modification.py:80} INFO - Update row with Video_ID: J9mlCHpWjUY
[2026-06-18T20:38:20.744+0000] {data_modification.py:80} INFO - Update row with Video_ID: J7dME-NlFtw
[2026-06-18T20:38:20.746+0000] {data_modification.py:80} INFO - Update row with Video_ID: -ksEYwkOv6w
[2026-06-18T20:38:20.748+0000] {data_modification.py:80} INFO - Update row with Video_ID: PYTNW_1-fPk
[2026-06-18T20:38:20.750+0000] {data_modification.py:80} INFO - Update row with Video_ID: UtyXvDhjo1U
[2026-06-18T20:38:20.752+0000] {data_modification.py:80} INFO - Update row with Video_ID: j-3bY7FZQr4
[2026-06-18T20:38:20.754+0000] {data_modification.py:80} INFO - Update row with Video_ID: cwg-X6tut2s
[2026-06-18T20:38:20.756+0000] {data_modification.py:80} INFO - Update row with Video_ID: MYPHLOsPhsQ
[2026-06-18T20:38:20.758+0000] {data_modification.py:80} INFO - Update row with Video_ID: yyW2YSi0sws
[2026-06-18T20:38:20.760+0000] {data_modification.py:80} INFO - Update row with Video_ID: l58woGl3qcM
[2026-06-18T20:38:20.761+0000] {data_modification.py:80} INFO - Update row with Video_ID: biaVpkiGy1w
[2026-06-18T20:38:20.764+0000] {data_modification.py:80} INFO - Update row with Video_ID: hSnaGXGb5-8
